channel,date,is_release,hour,messages
#ubuntu,2013-05-16,False,9,112
#ubuntu,2013-05-16,False,10,168
#ubuntu,2013-05-16,False,11,172
#ubuntu,2013-05-16,False,12,157
#ubuntu,2013-05-16,False,13,308
#ubuntu,2013-05-16,False,14,220
#ubuntu,2013-05-16,False,15,112
#ubuntu,2013-05-16,False,16,237
#ubuntu,2013-05-16,False,17,178
#ubuntu,2013-05-16,False,18,149
#ubuntu,2013-05-16,False,19,134
#ubuntu,2013-05-16,False,20,116
#ubuntu,2013-05-16,False,21,136
#ubuntu,2013-05-16,False,22,281
#ubuntu,2013-05-16,False,23,220
#ubuntu,2013-05-23,False,0,280
#ubuntu,2013-05-23,False,1,100
#ubuntu,2013-05-23,False,2,121
#ubuntu,2013-05-23,False,3,194
#ubuntu,2013-05-23,False,4,117
#ubuntu,2013-05-23,False,5,136
#ubuntu,2013-05-23,False,6,72
#ubuntu,2013-05-23,False,7,106
#ubuntu,2013-05-23,False,8,245
#ubuntu,2013-05-23,False,9,230
#ubuntu,2013-05-23,False,10,92
#ubuntu,2013-05-23,False,11,82
#ubuntu,2013-05-23,False,12,80
#ubuntu,2013-05-23,False,13,108
#ubuntu,2013-05-23,False,14,194
#ubuntu,2013-05-23,False,15,178
#ubuntu,2013-05-23,False,16,210
#ubuntu,2013-05-23,False,17,250
#ubuntu,2013-05-23,False,18,172
#ubuntu,2013-05-23,False,19,172
#ubuntu,2013-05-23,False,20,143
#ubuntu,2013-05-23,False,21,228
#ubuntu,2013-05-23,False,22,205
#ubuntu,2013-05-23,False,23,164
#ubuntu,2013-05-30,False,0,228
#ubuntu,2013-05-30,False,1,150
#ubuntu,2013-05-30,False,2,220
#ubuntu,2013-05-30,False,3,266
#ubuntu,2013-05-30,False,4,257
#ubuntu,2013-05-30,False,5,247
#ubuntu,2013-05-30,False,6,240
#ubuntu,2013-05-30,False,7,287
#ubuntu,2013-05-30,False,8,316
#ubuntu,2013-05-30,False,9,275
#ubuntu,2013-05-30,False,10,104
#ubuntu,2013-05-30,False,11,117
#ubuntu,2013-05-30,False,12,168
#ubuntu,2013-05-30,False,13,234
#ubuntu,2013-05-30,False,14,146
#ubuntu,2013-05-30,False,15,171
#ubuntu,2013-05-30,False,16,152
#ubuntu,2013-05-30,False,17,206
#ubuntu,2013-05-30,False,18,210
#ubuntu,2013-05-30,False,19,147
#ubuntu,2013-05-30,False,20,117
#ubuntu,2013-05-30,False,21,356
#ubuntu,2013-05-30,False,22,329
#ubuntu,2013-05-30,False,23,233
#ubuntu,2013-06-06,False,0,125
#ubuntu,2013-06-06,False,1,107
#ubuntu,2013-06-06,False,2,82
#ubuntu,2013-06-06,False,3,49
#ubuntu,2013-06-06,False,4,18
#ubuntu,2013-06-06,False,5,115
#ubuntu,2013-06-06,False,6,66
#ubuntu,2013-06-06,False,7,49
#ubuntu,2013-06-06,False,8,144
#ubuntu,2013-06-06,False,9,220
#ubuntu,2013-06-06,False,10,178
#ubuntu,2013-06-06,False,11,131
#ubuntu,2013-06-06,False,12,341
#ubuntu,2013-06-06,False,13,234
#ubuntu,2013-06-06,False,14,264
#ubuntu,2013-06-06,False,15,332
#ubuntu,2013-06-06,False,16,258
#ubuntu,2013-06-06,False,17,256
#ubuntu,2013-06-06,False,18,171
#ubuntu,2013-06-06,False,19,118
#ubuntu,2013-06-06,False,20,217
#ubuntu,2013-06-06,False,21,218
#ubuntu,2013-06-06,False,22,205
#ubuntu,2013-06-06,False,23,136
#ubuntu,2013-06-13,False,0,180
#ubuntu,2013-06-13,False,1,198
#ubuntu,2013-06-13,False,2,128
#ubuntu,2013-06-13,False,3,193
#ubuntu,2013-06-13,False,4,51
#ubuntu,2013-06-13,False,5,130
#ubuntu,2013-06-13,False,6,135
#ubuntu,2013-06-13,False,7,105
#ubuntu,2013-06-13,False,8,133
#ubuntu,2013-06-13,False,9,211
#ubuntu,2013-06-13,False,10,103
#ubuntu,2013-06-13,False,11,87
#ubuntu,2013-06-13,False,12,147
#ubuntu,2013-06-13,False,13,98
#ubuntu,2013-06-13,False,14,148
#ubuntu,2013-06-13,False,15,95
#ubuntu,2013-06-13,False,16,224
#ubuntu,2013-06-13,False,17,286
#ubuntu,2013-06-13,False,18,199
#ubuntu,2013-06-13,False,19,171
#ubuntu,2013-06-13,False,20,196
#ubuntu,2013-06-13,False,21,161
#ubuntu,2013-06-13,False,22,93
#ubuntu,2013-06-13,False,23,97
#ubuntu,2013-06-20,False,0,131
#ubuntu,2013-06-20,False,1,239
#ubuntu,2013-06-20,False,2,135
#ubuntu,2013-06-20,False,3,100
#ubuntu,2013-06-20,False,4,246
#ubuntu,2013-06-20,False,5,115
#ubuntu,2013-06-20,False,6,86
#ubuntu,2013-06-20,False,7,192
#ubuntu,2013-06-20,False,8,56
#ubuntu,2013-06-20,False,9,112
#ubuntu,2013-06-20,False,10,108
#ubuntu,2013-06-20,False,11,112
#ubuntu,2013-06-20,False,12,84
#ubuntu,2013-06-20,False,13,128
#ubuntu,2013-06-20,False,14,233
#ubuntu,2013-06-20,False,15,133
#ubuntu,2013-06-20,False,16,249
#ubuntu,2013-06-20,False,17,345
#ubuntu,2013-06-20,False,18,213
#ubuntu,2013-06-20,False,19,264
#ubuntu,2013-06-20,False,20,248
#ubuntu,2013-06-20,False,21,267
#ubuntu,2013-06-20,False,22,178
#ubuntu,2013-06-20,False,23,202
#ubuntu,2013-06-27,False,0,119
#ubuntu,2013-06-27,False,1,161
#ubuntu,2013-06-27,False,2,66
#ubuntu,2013-06-27,False,3,66
#ubuntu,2013-06-27,False,4,53
#ubuntu,2013-06-27,False,5,199
#ubuntu,2013-06-27,False,6,151
#ubuntu,2013-06-27,False,7,155
#ubuntu,2013-06-27,False,8,112
#ubuntu,2013-06-27,False,9,140
#ubuntu,2013-06-27,False,10,230
#ubuntu,2013-06-27,False,11,258
#ubuntu,2013-06-27,False,12,95
#ubuntu,2013-06-27,False,13,287
#ubuntu,2013-06-27,False,14,146
#ubuntu,2013-06-27,False,15,116
#ubuntu,2013-06-27,False,16,187
#ubuntu,2013-06-27,False,17,191
#ubuntu,2013-06-27,False,18,197
#ubuntu,2013-06-27,False,19,284
#ubuntu,2013-06-27,False,20,206
#ubuntu,2013-06-27,False,21,188
#ubuntu,2013-06-27,False,22,227
#ubuntu,2013-06-27,False,23,244
#ubuntu,2013-07-04,False,0,269
#ubuntu,2013-07-04,False,1,304
#ubuntu,2013-07-04,False,2,160
#ubuntu,2013-07-04,False,3,220
#ubuntu,2013-07-04,False,4,324
#ubuntu,2013-07-04,False,5,335
#ubuntu,2013-07-04,False,6,160
#ubuntu,2013-07-04,False,7,249
#ubuntu,2013-07-04,False,8,223
#ubuntu,2013-07-04,False,9,182
#ubuntu,2013-07-04,False,10,202
#ubuntu,2013-07-04,False,11,242
#ubuntu,2013-07-04,False,12,246
#ubuntu,2013-07-04,False,13,166
#ubuntu,2013-07-04,False,14,294
#ubuntu,2013-07-04,False,15,217
#ubuntu,2013-07-04,False,16,391
#ubuntu,2013-07-04,False,17,297
#ubuntu,2013-07-04,False,18,280
#ubuntu,2013-07-04,False,19,181
#ubuntu,2013-07-04,False,20,335
#ubuntu,2013-07-04,False,21,145
#ubuntu,2013-07-04,False,22,85
#ubuntu,2013-07-04,False,23,107
#ubuntu,2013-07-11,False,0,120
#ubuntu,2013-07-11,False,1,94
#ubuntu,2013-07-11,False,2,53
#ubuntu,2013-07-11,False,3,80
#ubuntu,2013-07-11,False,4,73
#ubuntu,2013-07-11,False,5,35
#ubuntu,2013-07-11,False,6,129
#ubuntu,2013-07-11,False,7,69
#ubuntu,2013-07-11,False,8,39
#ubuntu,2013-07-11,False,9,238
#ubuntu,2013-07-11,False,10,57
#ubuntu,2013-07-11,False,11,160
#ubuntu,2013-07-11,False,12,143
#ubuntu,2013-07-11,False,13,62
#ubuntu,2013-07-11,False,14,147
#ubuntu,2013-07-11,False,15,223
#ubuntu,2013-07-11,False,16,170
#ubuntu,2013-07-11,False,17,121
#ubuntu,2013-07-11,False,18,72
#ubuntu,2013-07-11,False,19,209
#ubuntu,2013-07-11,False,20,170
#ubuntu,2013-07-11,False,21,150
#ubuntu,2013-07-11,False,22,176
#ubuntu,2013-07-11,False,23,197
#ubuntu,2013-07-18,False,0,146
#ubuntu,2013-07-18,False,1,172
#ubuntu,2013-07-18,False,2,158
#ubuntu,2013-07-18,False,3,85
#ubuntu,2013-07-18,False,4,213
#ubuntu,2013-07-18,False,5,89
#ubuntu,2013-07-18,False,6,239
#ubuntu,2013-07-18,False,7,209
#ubuntu,2013-07-18,False,8,188
#ubuntu,2013-07-18,False,9,163
#ubuntu,2013-07-18,False,10,141
#ubuntu,2013-07-18,False,11,91
#ubuntu,2013-07-18,False,12,164
#ubuntu,2013-07-18,False,13,217
#ubuntu,2013-07-18,False,14,161
#ubuntu,2013-07-18,False,15,324
#ubuntu,2013-07-18,False,16,330
#ubuntu,2013-07-18,False,17,189
#ubuntu,2013-07-18,False,18,178
#ubuntu,2013-07-18,False,19,110
#ubuntu,2013-07-18,False,20,163
#ubuntu,2013-07-18,False,21,119
#ubuntu,2013-07-18,False,22,328
#ubuntu,2013-07-18,False,23,184
#ubuntu,2013-07-25,False,0,100
#ubuntu,2013-07-25,False,1,193
#ubuntu,2013-07-25,False,2,178
#ubuntu,2013-07-25,False,3,74
#ubuntu,2013-07-25,False,4,217
#ubuntu,2013-07-25,False,5,125
#ubuntu,2013-07-25,False,6,38
#ubuntu,2013-07-25,False,7,83
#ubuntu,2013-07-25,False,8,177
#ubuntu,2013-07-25,False,9,210
#ubuntu,2013-07-25,False,10,97
#ubuntu,2013-07-25,False,11,203
#ubuntu,2013-07-25,False,12,174
#ubuntu,2013-07-25,False,13,136
#ubuntu,2013-07-25,False,14,158
#ubuntu,2013-07-25,False,15,211
#ubuntu,2013-07-25,False,16,211
#ubuntu,2013-07-25,False,17,161
#ubuntu,2013-07-25,False,18,141
#ubuntu,2013-07-25,False,19,125
#ubuntu,2013-07-25,False,20,165
#ubuntu,2013-07-25,False,21,125
#ubuntu,2013-07-25,False,22,179
#ubuntu,2013-07-25,False,23,253
#ubuntu,2013-08-01,False,0,193
#ubuntu,2013-08-01,False,1,187
#ubuntu,2013-08-01,False,2,44
#ubuntu,2013-08-01,False,3,220
#ubuntu,2013-08-01,False,4,170
#ubuntu,2013-08-01,False,5,192
#ubuntu,2013-08-01,False,6,265
#ubuntu,2013-08-01,False,7,316
#ubuntu,2013-08-01,False,8,156
#ubuntu,2013-08-01,False,9,261
#ubuntu,2013-08-01,False,10,227
#ubuntu,2013-08-01,False,11,166
#ubuntu,2013-08-01,False,12,137
#ubuntu,2013-08-01,False,13,119
#ubuntu,2013-08-01,False,14,185
#ubuntu,2013-08-01,False,15,108
#ubuntu,2013-08-01,False,16,298
#ubuntu,2013-08-01,False,17,199
#ubuntu,2013-08-01,False,18,206
#ubuntu,2013-08-01,False,19,103
#ubuntu,2013-08-01,False,20,160
#ubuntu,2013-08-01,False,21,231
#ubuntu,2013-08-01,False,22,260
#ubuntu,2013-08-01,False,23,167
